M6PR	PLIN3
ESRRA	SIRT1
ESRRA	NRF1
ESRRA	NRBP1
ESRRA	NR1D1
ESRRA	NR1H2
ESRRA	RARA
ESRRA	NR0B2
ESRRA	RORA
ESRRA	PPARA
ESRRA	THRA
ESRRA	PPARGC1A
ESRRA	NCOR1
ESRRA	MEF2D
ESRRA	PPARG
ESRRA	NR2F6
ESRRA	MED1
ESRRA	HDAC3
ESRRA	NR1D2
ESRRA	PPARD
ESRRA	PPARGC1B
ESRRA	HNF4A
ESRRA	NR2C2
ESRRA	PGR
ESRRA	NR2F1
ESRRA	RORC
ESRRA	NRIP1
ESRRA	RARB
ESRRA	NR2C2AP
ESRRA	NR2C1
ESRRA	MEF2C
ESRRA	NR4A2
ESRRA	MEF2A
ESRRA	THRB
ESRRA	RXRG
ESRRA	NR4A1
ESRRA	NR2E1
ESRRA	RORB
ESRRA	ESRRB
ESRRA	RARG
ESRRA	HNF4G
ESRRA	ESRRG
ESRRA	USP46
ESRRA	VDR
FKBP4	SIRT1
FKBP4	RPA3
FKBP4	RLN1
FKBP4	HSPA8
FKBP4	RPA1
FKBP4	PTGES3
FKBP4	TRPC5
FKBP4	PHYH
FKBP4	YWHAE
FKBP4	TRPC1
FKBP4	TNFRSF21
FKBP4	HSPA6
FKBP4	KIAA1967
FKBP4	KLK3
FKBP4	HSPH1
FKBP4	PGR
FKBP4	HSP90AB1
FKBP4	HSP90AA1
FKBP4	FKBP5
FKBP4	FOXO3
FKBP4	UBC
FKBP4	SERPINH1
FKBP4	MTOR
FKBP4	MRPL18
FKBP4	GLMN
FKBP4	RPA2
CYP26B1	CYP3A5
CYP26B1	RARS
CYP26B1	CYP2C9
CYP26B1	CYP2C18
CYP26B1	CYP2A6
CYP26B1	UGT1A6
CYP26B1	UGT2B7
CYP26B1	UGT1A1
CYP26B1	UGT2B4
CYP26B1	CYP2S1
CYP26B1	CYP4A11
CYP26B1	UGT2B17
CYP26B1	CYP2B6
CYP26B1	CYP3A7
CYP26B1	CYP3A4
CYP26B1	UGT1A10
CYP26B1	CYP2C8
CYP26B1	UGT1A4
CYP26B1	UGT1A5
CYP26B1	UGT1A7
CYP26B1	UGT1A8
CYP26B1	UGT2A1
CYP26B1	UGT1A3
HS3ST1	SDC2
HS3ST1	SDC3
HS3ST1	SDC4
HS3ST1	HSPG2
CFTR	USP10
CFTR	STUB1
CFTR	HSPA8
CFTR	SEC61A1
CFTR	GNGT1
CFTR	SNAP23
CFTR	DERL1
CFTR	RAB11A
CFTR	SLC9A3R1
CFTR	SLC9A3
CFTR	PRKAR2A
CFTR	SLC4A7
CFTR	HSPA4
CFTR	F2
CFTR	PRKACA
CFTR	HSP90AA1
CFTR	EZR
