"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
CTV-1,LAML,blood,acute_myeloid_leukaemia,0.006078,0.021342
SU-DHL-4,DLBC,blood,B_cell_lymphoma,0.024796,0.068174
SU-DHL-6,DLBC,blood,B_cell_lymphoma,0.026732,0.093486
GA-10,UNCLASSIFIED,blood,Burkitt_lymphoma,0.020214,0.121173
DOHH-2,DLBC,blood,B_cell_lymphoma,0.043775,0.189146
NU-DUL-1,DLBC,blood,B_cell_lymphoma,0.096660,0.295628
LB996-RCC,KIRC,kidney,kidney,0.090641,0.314956
SU-DHL-16,DLBC,blood,B_cell_lymphoma,0.143893,0.357126
LB1047-RCC,KIRC,kidney,kidney,0.135237,0.372076
ALL-SIL,ALL,blood,T_cell_leukemia,0.153936,0.375901
LAMA-84,LCML,blood,chronic_myeloid_leukaemia,0.146972,0.378914
KARPAS-231,UNCLASSIFIED,blood,B_cell_leukemia,0.171620,0.390147
Farage,DLBC,blood,B_cell_lymphoma,0.203681,0.422333
MY-M12,ALL,blood,leukemia,0.248539,0.460823
NOS-1,UNCLASSIFIED,bone,osteosarcoma,0.244070,0.461456
D-336MG,LGG,nervous_system,glioma,0.258155,0.467986
ETK-1,UNCLASSIFIED,digestive_system,biliary_tract,0.275784,0.477029
TE-8,ESCA,aero_digestive_tract,oesophagus,0.279494,0.479635
SW982,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.324144,0.502036
TE-15,ESCA,aero_digestive_tract,oesophagus,0.330271,0.504694
NCI-H1975,LUAD,lung,lung_NSCLC_adenocarcinoma,0.347516,0.512157
SUP-B15,ALL,blood,lymphoblastic_leukemia,0.350659,0.514665
SNB75,GBM,nervous_system,glioma,0.376734,0.522474
BV-173,LCML,blood,chronic_myeloid_leukaemia,0.401584,0.536699
GB-1,GBM,nervous_system,glioma,0.421675,0.541628
NCI-H1648,LUAD,lung,lung_NSCLC_adenocarcinoma,0.430858,0.543297
TE-12,ESCA,aero_digestive_tract,oesophagus,0.442378,0.544514
RL95-2,UNCLASSIFIED,urogenital_system,endometrium,0.446868,0.552922
K-562,LCML,blood,chronic_myeloid_leukaemia,0.459948,0.556566
SW872,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.460455,0.559936
NMC-G1,LGG,nervous_system,glioma,0.490565,0.561452
LC-2-ad,LUAD,lung,lung_NSCLC_adenocarcinoma,0.490568,0.567306
HOP-62,LUAD,lung,lung_NSCLC_adenocarcinoma,0.495198,0.568507
EM-2,LCML,blood,chronic_myeloid_leukaemia,0.520752,0.571674
OS-RC-2,KIRC,kidney,kidney,0.623450,0.589652
LB831-BLC,BLCA,urogenital_system,bladder,0.595365,0.597971
TK10,KIRC,kidney,kidney,0.655156,0.604356
IST-MEL1,SKCM,skin,melanoma,0.681808,0.609989
MZ1-PC,PAAD,pancreas,pancreas,0.687709,0.612376
MLMA,UNCLASSIFIED,blood,hairy_cell_leukaemia,0.683970,0.619978
KGN,UNCLASSIFIED,urogenital_system,ovary,0.732724,0.621910
GI-ME-N,NB,nervous_system,neuroblastoma,0.786430,0.625868
OVCAR-4,OV,urogenital_system,ovary,0.841570,0.626565
